,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
91,R2,41.881820181818185,12.4875,Papageno,41.88063149743012,12.484436429324107,Italian Restaurant
92,R2,41.881820181818185,12.4875,Yellow Bar,41.88199615663025,12.485918512563128,Café
93,R2,41.881820181818185,12.4875,Belvedere Romulo e Remo,41.88578193670554,12.48464638104064,Scenic Lookout
94,R2,41.881820181818185,12.4875,Piazza Albania,41.8804507302082,12.483952021370905,Plaza
95,R2,41.881820181818185,12.4875,Sushi e Noodles,41.880750902773755,12.484587190010568,Japanese Restaurant
96,R2,41.881820181818185,12.4875,Gustomassimo,41.88374267333183,12.487588618563738,Gastropub
97,R2,41.881820181818185,12.4875,L'insalata Ricca - Piazza Albania,41.88052549120237,12.484198976932275,Salad Place
98,R2,41.881820181818185,12.4875,Rosso,41.88289,12.48702,Italian Restaurant
99,R2,41.881820181818185,12.4875,Emme Piu,41.88171462362278,12.485488204543945,Supermarket
100,R2,41.881820181818185,12.4875,Angeli e Diavoli,41.87818210626794,12.485514336576106,Pizza Place
101,R2,41.881820181818185,12.4875,Saba Caffè Cucina,41.87836,12.48483,Restaurant
102,R3,41.881820181818185,12.5,Pifebo,41.883754221477844,12.499318517309758,Thrift / Vintage Store
103,R3,41.881820181818185,12.5,Ristorante Orazio,41.87911012342575,12.497828817428458,Italian Restaurant
104,R3,41.881820181818185,12.5,Sacco,41.88122450259442,12.502798786161756,Pizza Place
105,R3,41.881820181818185,12.5,Trattoria Romolo E Remo,41.88038122706205,12.500993909727029,Italian Restaurant
106,R3,41.881820181818185,12.5,contesto urbano,41.88102695800146,12.503984983616325,Restaurant
107,R3,41.881820181818185,12.5,Piazzale Metronio,41.882146890521064,12.499061822891235,Plaza
108,R3,41.881820181818185,12.5,Sma Laterani,41.883491636106086,12.503000672596976,Supermarket
109,R3,41.881820181818185,12.5,Aranciera Di San Sisto,41.88133747268331,12.495436188662346,Nightclub
110,R3,41.881820181818185,12.5,Ristorante Leon,41.88172966673235,12.500936534750808,Restaurant
111,R3,41.881820181818185,12.5,Carrefour Market,41.88061794969231,12.50298684610411,Supermarket
112,R3,41.881820181818185,12.5,Hotel Valeri,41.88314366830421,12.498825682114848,Hotel
113,R3,41.881820181818185,12.5,Piazzale Numa Pompilio,41.8795079943753,12.495655670774232,Plaza
114,R3,41.881820181818185,12.5,Robivecchio,41.88096340069586,12.502974605316941,Pub
115,R3,41.881820181818185,12.5,Largo dell'Amba Aradam,41.879139426143986,12.495163087210999,Plaza
116,R4,41.881820181818185,12.5125,Pompi,41.880392493075455,12.513508184379944,Dessert Shop
117,R4,41.881820181818185,12.5125,Re Di Roma Pizza,41.8815237462141,12.513543458577844,Pizza Place
118,R4,41.881820181818185,12.5125,SantoPalato,41.88118,12.510025,Roman Restaurant
119,R4,41.881820181818185,12.5125,Fatamorgana,41.8818005387858,12.515691391804255,Ice Cream Shop
